作曲者,No.,曲名,Op.,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,その他,分数,提出者からのコメント
アーノルド,1,第六の幸福をもたらす宿,,3(1),2,3(1),2,4,3,3,1,Timp. B.D.(w.Cym.)/木琴 S.D./銅鑼 T.D./鉄琴/Vib. ベル④,Pf./Cel.,14,
アルチュニアン,2,トランペット協奏曲,,2(1),2,2,2,4,2,3,1,Timp. B.D. Cym. Trg. Tamb.⑤,Tp.独奏 Hp.,16,
アレンスキー,3,ヴァイオリン協奏曲,,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,25,
ヴィエニャフスキ,4,ヴァイオリン協奏曲第2番,,2,2,2,2,2,2,3,0,Timp.①,Vn.独奏,22,
V.ウィリアムズ,5,グリーンスリーブス幻想曲,,2,0,0,0,0,0,0,0,0,Hp.(or Pf.),5,
V.ウィリアムズ,6,チューバ協奏曲,,2(1),1,2,1,2,2,2,0,Timp. Trg./B.D. S.D./Cym.③,Tub.独奏,17,
ウェーバー,7,歌劇「魔弾の射手」序曲,77,2,2,2,2,4,2,3,0,Timp.①,,8,
ウェーベルン,8,管弦楽のためのパッサカリア,1,2/1,2/1,2/1,2/1,4,3,3,1,Timp. Trg./Cym. B.D./銅鑼③,Hp,15,
ウェーベルン,9,管弦楽のための6つの小品,6,2(1),2,2/1,2(1),4,4,4,1,Timp. Cym. B.D. S.D./Trg. 銅鑼 鉄琴/鐘⑥,Hp. Cel.,13,
ヴェルディ,10,歌劇「ナブッコ」序曲,,2(1),2,2,2/1,4,2,3,1,Timp. B.D. S.D.③,,7,
ヴェルディ,11,歌劇「運命の力」序曲,,1/1,2,2,2/1,4,2,3,1,Timp. Cym./B.D.②,Hp:2,7,
エルガー,12,チェロ協奏曲,85,2(1),2,2,2,4,2,3,1,Timp.①,Vc.独奏,29,
エロール,13,歌劇「ザンパ」序曲,,1/1,2,2,2,4,2,3,1,Timp. Trg. B.D. Cym.④,,8,
オッフェンバック,14,歌劇「美しきエレーヌ」序曲,,1/1,2,2,2,4,2,3,0,Timp. B.D. Cym. ③,,7,
オッフェンバック,15,歌劇「天国と地獄」序曲,,2,2,2,2,4,2,3,1,Timp. B.D. Cym. S.D. Trg.⑤,Hp.,10,
オネゲル,16,交響詩「夏の牧歌」,,1,1,1,1,1,0,0,0,0,,8,
ガーシュウィン,17,ラプソディー・イン・ブルー,,2,2,2/1,2,4,3,3,1,Timp. S.D. Cym. Trg. 銅鑼 ベル④,Pf.独奏 ,16,
グノー,18,小交響曲,,1,2,2,2,2,0,0,0,0,(弦楽器なし),17,
グノー,19,歌劇「ファウスト」よりバレエ音楽,,2(1),2,2(1),2,4,2/2,3,0,Timp. Cym. Trg. B.D.④,Hp:4,22,
グラズノフ,20,祝典序曲,73,2/1,2,2,2,4,2,3,1,Timp. B.D. Cym. Trg.④,,10,
グリーグ,21,ペールギュントより第1組曲,46,2/1,2,2,2,4,2,3,1,Timp. B.D. Cym./Trg.③,,14,
グリーグ,22,ペールギュントより第2組曲,55,2/1,2,2,2,4,2,3,1,Timp./S.D. B.D. Cym. Tamb. Trg.⑤,Hp.,19,
グリーグ,23,ノルウェー舞曲,35,2/1,2,2,2,4,2,3,1,Timp. Trg.②,Hp.,16,
グリーグ,24,ピアノ協奏曲,16,2,2,2,2,4,2,3,0,Timp.①,Pf独奏,30,
グリエール,25,ホルン協奏曲,91,3,2,2,2,3,2,3,1,Timp. Cym. Trg. B.D. S.D.⑤,Hr.独奏 Hp.,26,
グリンカ,26,歌劇「ルスランとリュドミラ」序曲,,2,2,2,2/1,4,2,3,0,Timp.①,,5,
グリンカ,27,幻想的ワルツ,,2,2,2,2,2,2,1,0,Timp. Trg.②,,8,
(ブライアン・)クレイン,28,交響曲第1番,,2,1,1,1,3,2,1,0,Timp.①,Pf.,22,
ゲーゼ,29,序曲「オシアンの余韻」,1,2(1),2,2,2/1,4,2,2,1,Timp.①,Hp. ,13,
コープランド,30,エル・サロン・メヒコ,,2/1,2/1,2/1/1,2/1,4,3,3,1,Timp. Cym. W.B./Tamb. ブラシ/ゴード B.D./木琴/T.ブロック/プロバンス太鼓⑤,Pf.,10,
サラサーテ,31,ツィゴイネルワイゼン,20,2,2,2,2,2,2,0,0,Timp. (任意でTrg.)②,Vn.独奏,11,
サン＝サーンス,32,序奏とロンド・カプリチオーソ,28,2,2,2,2,2,2,0,0,Timp.①,,10,
サン＝サーンス,33,交響詩「死の舞踏」,40,2/1,2,2,2,4,2,3,1,Timp. Trg. Cym. B.D./木琴④,Hp.,8,
サン＝サーンス,34,ヴァイオリン協奏曲第3番,20,2,2,2,2,2,2,0,0,Timp.①,Vn.独奏,11,
シベリウス,35,交響詩「トゥオネラの白鳥」,22,0,1/1,0/1,2,4,0,3,0,Timp. B.D.②,Hp.,8,
シベリウス,36,組曲「ペレアスとメリザンド」,46,1(1),1(1),2,2,2,0,0,0,Timp./Trg./B.D.①,,30,
シベリウス,37,ヴァイオリン協奏曲,47,2,2,2,2,4,3,3,0,Timp.①,Vn.独奏,33,
シベリウス,38,交響曲第3番,52,2,2,2,2,4,2,3,0,Timp.①,,27,
シベリウス,39,交響曲第4番,63,2,2,2,2,4,2,3,0,Timp. 鉄琴②,,32,
シベリウス,40,交響曲第7番,105,2(2),2,2,2,4,3,3,0,Timp.①,,22,
シャブリエ,41,田園組曲,,2(1),1,2,2,2,2,3,0,Timp. Trg. Cym. B.D.④,(任意でHp.),18,
シューベルト,42,劇付随音楽「ロザムンデ」より序曲,D797,2,2,2,2,4,2,3,0,Timp.①,,10,
シューマン,43,序曲，スケルツォと終曲,52,2,2,2,2,2,2,3,0,Timp.①,,18,
シューマン,44,チェロ協奏曲,,2,2,2,2,2,2,0,0,Timp.①,Vc.独奏,25,
J.シュトラウスII世,45,喜歌劇「こうもり」序曲,,2(1),2,2,2,4,2,3,0,Timp. B.D. S.D. 鐘/Trg.④,,9,
J.シュトラウスII世,46,喜歌劇「ジプシー男爵」序曲,,1/1,2,2,2,4,2,3,0,Timp. S.D. B.D.③,Hp.,9,
J.シュトラウスII世,47,ワルツ「美しく青きドナウ」,314,2(1),2,2,2,4,2,3,1,Timp. B.D./Trg. S.D.③,,10,
ショスタコーヴィチ,48,祝典序曲,96,2/1,3,3,2/1,4/4,3/3,3/3,1,Timp. B.D. S.D. Trg. Cym.,,8,
ショスタコーヴィチ,49,ヴァイオリン協奏曲第1番,77,3(1),3(1),3(1),2/1,4,0,0,1,Timp. ゴング/Tamb. 木琴③,"Vn.独奏 Hp:2,Cel.",30,
ショスタコーヴィチ,50,交響曲第9番,70,2/1,2/1,2,2,4,2,3,1,"Timp. S.D./Cym/Sus.Cym.
Trg/B.D/Tamb.③",,25,
スクリャービン,51,ピアノ協奏曲,,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,27,
ステーンハンマル,52,ピアノ協奏曲,,2,2,2,2,4,2,3,1,Timp.①,Pf.独奏,30,
スッペ,53,喜歌劇「軽騎兵」序曲,,1/1,2,2,2,4,2,3,0,Timp. Cym. B.D. S.D.④,,6,
スメタナ,54,交響詩「ヴィシェフラド」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.(任意で2),14,
スメタナ,55,交響詩「モルダウ」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.,12,
スメタナ,56,交響詩「シャルーカ」,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg.③,,10,
チャイコフスキー,57,幻想序曲「ロメオとジュリエット」,,2/1,2/1,2,2,4,2,3,1,Timp. Cym. B.D.③,Hp.,18,
チャイコフスキー,58,祝典序曲「1812年」,49,2/1,2/1,2,2,4,2/2,3,1,Timp.Trg.Tamb S.D.Cym B.D.鐘 大砲⑥,,15,
チャイコフスキー,59,イタリア奇想曲,45,3(1),2/1,2,2,4,2/2,3,1,Timp. B.D. Cym. Trg./Tamb. 鉄琴⑤,Hp.,15,
チャイコフスキー,60,バレエ「白鳥の湖」より抜粋,,2/1,2,2,2,4,2/2,3,1,Timp. Trg. B.D. Cym.④,Hp.,20,
チャイコフスキー,61,バレエ組曲「くるみ割り人形」,71a,3(1),2/1,2/1,2,4,2,3,1,Timp. Cym./Trg./Tamb./鉄琴②,Cel.(or Pf.)/Hp.,25,
チャイコフスキー,62,ヴァイオリン協奏曲,35,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,35,
チャイコフスキー,63,ピアノ協奏曲第1番,23,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,33,
デュカス,64,序曲「ポリュークト」,,2,2/1,2/1,3,4,2,3,1,Timp.①,Hp.,14,
デュカス,65,交響詩「魔法使いの弟子」,,2/1,2,2/1,3/1,4,2/2,3,0,Timp. B.D. Trg. Cym. 鉄琴 ⑤,Hp.,12,
ドヴォルザーク,66,序曲「オセロ」,93,2(1),2/1,2,2,4,2,3,1,Timp. Cym. B.D.③,Hp.,17,
ドヴォルザーク,67,スケルツォ・カプリチオーソ,66,2/1,2(1),2,2,4,2,3,1,Timp. Cym. Trg. B.D.④,Hp.,15,
ドヴォルザーク,68,チェロ協奏曲,104,2(1),2,2,2,3,2,3,1,Timp. Trg.②,Vc.独奏,38,
ドビュッシー,69,海-管弦楽のための3つの交響的素描,,2/1,2/1,2,3/1,4,3/2,3,1,Timp. B.D. Cym. Trg. 銅鑼 鉄琴,Hp:2,24,
ドビュッシー,70,小組曲,65,2(1),2(1),2,2,2,2,0,0,Timp. Cym. Trg. Tamb.④,Hp.,15,
ドビュッシー,71,牧神の午後への前奏曲,86,3,2/1,2,2,4,0,0,0,クロタル:2 ②,Hp:2,10,
トレッリ,72,トランペット協奏曲,,0,0,0,0,0,0,0,0,0,Tp.独奏 Cem.,7,
ネルーダ,73,トランペット協奏曲,,0,0,0,0,0,0,0,0,0,Tp.独奏,15,
ハイドン,74,トランペット協奏曲,,2,2,2,2,2,2,0,0,Timp.①,Tp.独奏,16,
ハイドン,75,交響曲第88番「V字」,,1,2,0,2,2,2,0,0,Timp.①,,25,
ハイドン,76,交響曲第94番「驚愕」,,2,2,0,2,2,2,0,0,Timp.①,,25,
ハイドン,77,交響曲第100番「軍隊」,,2,2,2,2,2,2,0,0,Timp. Cym. Trg. B.D.④,,28,
ハイドン,78,交響曲第101番「時計」,,2,2,2,2,2,2,0,0,Timp.①,,30,
ハイドン,79,交響曲第102番,,2,2,0,2,2,2,0,0,Timp.①,,26,
ハイドン,80,交響曲第103番「太鼓連打」,,2,2,2,2,2,2,0,0,Timp.①,,30,
ハイドン,81,交響曲第104番「ロンドン」,,2,2,2,2,2,2,0,0,Timp.①,,29,
ハチャトゥリアン,82,組曲「仮面舞踏会」,,2(1),2,2,2,4,2,3,1,Timp/BD/Cym/Glock/SD⑤,,15,
バラキレフ,,３つのロシアの主題による序曲第1番,,2,2,2,2,2,2,3,0,Timp.①,,8,
バルトーク,83,ハンガリーの風景,Sz.97,2(1),2,2(1),2,2,2,2,0,Timp/S.D/Cym. B.D/Cym/S.D. Trg/木琴③,Hp.,13,
バルトーク,84,ルーマニア民俗舞曲,Sz.68,2(1),0,2,2,2,0,0,0,0,弦の人数指定?,7,
ヒンデミット,85,"ウェーバーの主題による
交響的変容",,2/1,2/1,2/1,2/1,4,2,3,1,Timp. S.D. Trg/鉄琴. W.B./Tamb. Cym.トムトム ゴング/鉄琴⑦,,18,
フォーレ,86,組曲「ペレアスとメリザンド」,80,2,2,2,2,4,2,0,0,Timp.①,Hp.,18,
ブラームス,87,ハイドンの主題による変奏曲,56,2/1,2,2,2/1,4,2,0,0,Timp. Trg.②,,17,
ブラームス,88,ヴァイオリン協奏曲,77,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,40,
フランク,89,オラトリオ「贖罪」より交響的小品,,2,2,2,2,4,2,3,1,Timp.①,,13,
フランク,90,交響詩「アイオリスの人々」,M43,2,2,2,2,4,2,0,0,Timp. Sus.Cym.②,Hp.,11,
ブルッフ,91,スコットランド幻想曲,46,2,2,2,2,4,2(4),3,1,Timp. Cym. B.D.③,Hp. Vn.独奏,30,
ブルッフ,92,ヴァイオリン協奏曲第1番,26,2,2,2,2,4,2,0,0,Timp.①,Vn.独奏,24,
プロコフィエフ,93,「シンデレラ」組曲第1番,107,2/1,2/1,2/1,2/1,4,3,3,1,Timp. Trg. Cym. B.D. S.D. Cast. Tamb. 木琴 鉄琴 銅鑼 鐘,Hp. Pf.,32,
プロコフィエフ,94,交響曲第1番「古典」,25,2,2,2,2,2,2,0,0,Timp.①,,14,
フンパーディング,95,歌劇「ヘンゼルとグレーテル」序曲,,2/1,2,2,2,4,2,3,1,Timp. Cym. Trg./tamb.③,,8,
フンメル,96,トランペット協奏曲,S49,1,2,2,2,2,0,0,0,Timp.①,Tp.独奏,18,
ベートーヴェン,97,「レオノーレ」序曲第3番,72b,2,2,2,2,4,3,3,0,Timp.①,,15,
ベートーヴェン,98,「アテネの廃墟」序曲,113,2,2,2,2,4,2,0,0,Timp.①,,5,
ベートーヴェン,99,「アテネの廃墟」序曲とトルコ行進曲,113,0/1,2,2,2,2,2,0,0,Timp. Trg. Cym. B.D.④,(トルコ行進曲),3,
ベートーヴェン,100,ヴァイオリン協奏曲,61,1,2,2,2,4,2,0,0,Timp.①,Vn.独奏,42,
ベルリオーズ,101,序曲「ローマの謝肉祭」,H95,2(1),2(1),2,4,4,2/2,3,0,Timp. Cym. Trg. Tamb:2⑤,,10,
ボロディン,102,交響詩「中央アジアの草原にて」,,2,2/1,2,2,4,2,3,0,Timp.①,,7,
ボロディン,103,歌劇「イーゴリ公」序曲,,2/1,2,2,2,4,2,3,1,Timp.①,,11,
ボロディン,104,歌劇「イーゴリ公」より韃靼人の踊り,,2/1,2/1,2,2,4,2,3,1,Timp.Cym.Trg. B.D. S.D. Tamb./鉄琴⑥,Hp.,12,
ボロディン,105,交響曲第3番(グラズノフ編),,2,2,2,2,4,2,3,0,Timp.①,,17,
マーラー,106,さすらう若人の歌,,3(1),2(1),3(1),2,4,2,3,0,Timp. Cym./銅鑼 Trg./B.D./鉄琴③,"独唱(Bar),Hp.",16,
マーラー,107,亡き子をしのぶ歌,,2/1,2/1,2/1,2/1,4,0,0,0,Timp. 銅鑼/鉄琴 ③,"独唱, Hp. Cel.",27,
ムゾルグスキー,108,交響詩「禿山の一夜」(リムスキー編),,2/1,2,2,2,4,2,3,1,Timp. B.D. Cym. 銅鑼/鐘④,,12,
メトネル,109,ピアノ協奏曲第1番,,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,34,
メトネル,110,ピアノ協奏曲第2番,,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,37,
メトネル,111,ピアノ協奏曲第3番「バラード」,,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,36,
メンデルスゾーン,112,序曲「フィンガルの洞窟」,26,2,2,2,2,2,2,0,0,Timp.①,,10,
メンデルスゾーン,113,序曲「ルイ・ブラス」,95,2,2,2,2,4,2,3,1,Timp.①,,8,
メンデルスゾーン,114,「真夏の夜の夢」序曲,21,2,2,2,2,2,2,0,1,Timp.①,,12,
メンデルスゾーン,115,ピアノ協奏曲第1番,25,2,2,2,2,2,2,0,0,Timp.①,Pf.独奏,20,
メンデルスゾーン,116,ヴァイオリン協奏曲,64,2,2,2,2,2,2,0,0,Timp.①,Vn.独奏,30,
L.モーツァルト,117,トランペット協奏曲,,0,0,0,0,2,0,0,0,0,Tp.独奏,12,
W.A.モーツァルト,118,歌劇「フィガロの結婚」序曲,K492,2,2,2,2,2,2,0,0,Timp.①,,5,
W.A.モーツァルト,119,歌劇「劇場支配人」序曲,K486,2,2,2,2,2,2,0,0,Timp.①,,5,
W.A.モーツァルト,120,歌劇「後宮からの逃走」序曲,K384,2,2,2,2,2,2,0,0,Timp.①,,5,
W.A.モーツァルト,121,歌劇「魔笛」序曲,K620,2,2,2,2,2,2,3,0,Timp.①,,7,
W.A.モーツァルト,122,クラリネット協奏曲,K622,2,0,0,2,2,0,0,0,0,Cl.独奏,30,
W.A.モーツァルト,123,ピアノ協奏曲第23番,K595,1,2,0,2,2,0,0,0,0,Pf.独奏,34,
W.A.モーツァルト,124,交響曲第31番「パリ」,K297,2,2,2,2,2,2,0,0,Timp.①,,18,
W.A.モーツァルト,125,交響曲第35番「ハフナー」,K385,2,2,2,2,2,2,0,0,Timp.①,,17,
W.A.モーツァルト,126,交響曲第36番「リンツ」,K425,0,2,0,2,2,2,0,0,Timp.①,,26,
W.A.モーツァルト,127,交響曲第38番「プラハ」,K504,2,2,0,2,2,2,0,0,Timp.①,,25,
W.A.モーツァルト,128,交響曲第39番,K543,1,0,2,2,2,2,0,0,Timp.①,,25,
W.A.モーツァルト,129,交響曲第40番,K550,1,2,2,2,2,0,0,0,0,,30,
W.A.モーツァルト,130,交響曲第41番「ジュピター」,K551,1,2,0,2,2,2,0,0,Timp.①,,30,
モシュコフスキ,131,ピアノ協奏曲,59,2,2,2,2,4,2,3,0,Timp.①,Pf.独奏,35,
ラヴェル,132,亡き王女のためのパヴァーヌ,,2,1,2,2,1,0,0,0,0,Hp.(or Pf.),5,
ラヴェル,133,スペイン狂詩曲,54,2/2,2/1,2/1,3/1,4,3,3,1,Timp. B.D. Cym. Trg. Tamb. Cast. S.D. 銅鑼 木琴⑦,Cel. Hp:2,16,
ラヴェル,134,管弦楽のための舞踏詩「ラ・ヴァルス」,M72,3(1),2/1,2/1,2/1,4,3,3,1,Timp. Cym. B.D. クロタル/鉄琴 Trg. Cast./Tamb./銅鑼⑦,Hp:2,12,
ラヴェル,135,"組曲「鏡」第4曲
「道化師の朝の歌」",M43-4,3(1),2/1,2,2/1,4,2,3,1,Timp. B.D. Cym. Tamb./Cast. S.D. 木琴 クロタル/Trg.⑦,Hp:2,8,
ラヴェル,136,組曲「クープランの墓」,M68a,2,1/1,2,2,2,1,0,0,0,Hp.,16,
ラヴェル,137,組曲「マ・メール・ロア」,M60,2(1),2(1),2,2(1),2,0,0,0,Timp. Cym. Trg. B.D. 銅鑼 木琴⑤,"Hp. Cel. 
鍵盤式鉄琴",20,
ラヴェル,138,ピアノ協奏曲,M83,2(1),2(1),2/0/1,2,2,1,1,0,Timp. Cym. Trg. B.D. S.D. W.B. 銅鑼 鞭③,Pf.独奏 Hp.,22,
ラフマニノフ,139,パガニーニの主題による狂詩曲,43,2/1,2/1,2,2,4,2,3,1,Timp. B.D. Cym. Glock. S.D./Trg.⑤,Pf.独奏 Hp.,24,
ラフマニノフ,140,ピアノ協奏曲第1番,1,2,2,2,2,4,2,3,1,Timp.①,Pf.独奏,27,
ラフマニノフ,141,ピアノ協奏曲第2番,18,2,2,2,2,4,2,3,1,Timp. B.D. Cym.③,Pf.独奏,31,
ラフマニノフ,142,ピアノ協奏曲第3番,30,2,2,2,2,4,2,3,1,Timp. B.D. Cym./S.D.③,Pf.独奏,40,
ラフマニノフ,143,ピアノ協奏曲第4番,40,2/1,2/1,2,2,4,2,3,1,Timp. B.D. Cym. Trg. Tamb. S.D.⑥,Pf.独奏,26,
リスト,144,メフィスト・ワルツ第1番,S110,3(1),2(1),2,2,4,2,3,1,Timp. Cym. Trg.③,Hp.,11,
リスト,145,交響詩第3番「レ・プレリュード」,S97,3(1),2,2,2,4,2,3,1,Timp. Cym. S.D. B.D.④,Hp.,16,
リスト,146,ピアノ協奏曲第1番,S124,2/1,2,2,2,2,2,3,0,Timp. Cym. Trg.③,Pf.独奏,18,
リムスキー＝コルサコフ,147,3つのロシアの歌による序曲,28,2(1),2,2,2,4,2,3,1,Timp. Tamb. ②,(任意でHp.),14,
リムスキー＝コルサコフ,148,セルビア幻想曲,6,2/1,2,2,2,4,2,3,0,Timp. Trg. Tamb. B.D. Cym. ⑤ ,,7,
レスピーギ,149,交響詩「ローマの噴水」,,2/1,2/1,2/1,2,4,3,3,1,Timp. Cym. Trg. 鉄琴 鐘⑤,Hp:2 Cel.Pf.Org.,17,
レスピーギ,150,交響詩「ローマの松」,,3(1),2/1,2/1,2/1,4,3,3,1,"Timp. Cym. Trg. B.D. Tamb. 
ラチェット 銅鑼 鉄琴 レコード","Hp.Cel. Pf. Org.
6ビュークル",21,
ロッシーニ,151,歌劇「ウィリアム・テル」序曲,,1/1,2,2,2,4,2,3,0,Timp. Trg. B.D. Cym.④,,12,
ワーグナー,152,歌劇「さまよえるオランダ人」序曲,W.63,2/1,2/1,2,2,4,2,3,1,Timp.①,Hp.,11,